company_name,company_description,relationship_to_bond,sector,industry,ISIN,bond_destination,coupon_rate,total_bond_amount,nominal_amount,maturity_date,bond_currency,country,status,stocks_info,bond_types,Floating rate,Foreign bonds,Green bonds,Senior Secured,Senior Unsecured,Zero-coupon bonds
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE0002239086,International bonds,1.375%,"500,000,000 EUR","100,000 EUR",27may2024, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
RESA SA,Resa SA of Belgium operates as an electricity and gas distribution company. The company supplies electricity and gas to end-customers in Belgium.,Profile,corporate,Power,BE0002256254,International bonds,1%,"300,000,000 EUR","100,000 EUR",22jul2026, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE0002276450,International bonds,1.375%,"250,000,000 EUR","100,000 EUR",7apr2027, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
GBL,"GBL is one of the largest listed Belgian companies and is the second largest holding company in Europe, with adjusted net assets of EUR 15.6 billion and a market capitalisation of EUR 11.7 billion at the ...",Profile,corporate,Financial institutions,BE0002280494,International bonds,1.375%,"500,000,000 EUR","100,000 EUR",23may2024, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002285543,International bonds,2%,"200,000,000 EUR",500 EUR,23jun2025, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002420926,International bonds,2.75%,"500,000,000 EUR","100,000 EUR",30nov2022, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE0002432079,International bonds,3.25%,"550,000,000 EUR","100,000 EUR",4apr2028, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE0002433085,International bonds,3.5%,"200,000,000 EUR","100,000 EUR",4apr2033, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002443183,International bonds,2.875%,"500,000,000 EUR","100,000 EUR",9oct2023, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002448232,International bonds,3.75%,"250,000,000 EUR","100,000 EUR",30oct2023, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE0002466416,International bonds,3%,"350,000,000 EUR","100,000 EUR",7apr2029, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002470459,International bonds,2.875%,"550,000,000 EUR","100,000 EUR",7may2029, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002478536,International bonds,2.625%,"250,000,000 EUR","100,000 EUR",29oct2029, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Fluvius System Operator,"Fluvius System Operator CVBA (formerly Eandis System Operator CVBA) is responsible for operating this extensive network in 234 towns, cities and municipalities. After all, Eandis stands for Electricity, nAtural gas, Networks and Distribution.",Profile,corporate,Power,BE0002481563,International bonds,1.75%,"400,000,000 EUR","100,000 EUR",4dec2026, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Befimmo,Befimmo,Issuer,corporate,Construction and development,BE0002584622,International bonds,2.098%,"125,000,000 EUR","100,000 EUR",12mar2026, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
GBL,"GBL is one of the largest listed Belgian companies and is the second largest holding company in Europe, with adjusted net assets of EUR 15.6 billion and a market capitalisation of EUR 11.7 billion at the ...",Profile,corporate,Financial institutions,BE0002595735,International bonds,1.875%,"500,000,000 EUR","100,000 EUR",19jun2025, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
Elia,"Elia is not just Belgium’s transmission system operator – it is also a key player at European level. Elia is Belgium’s high-voltage transmission system operator (30 kV to 380 kV), operating over 8,000 km of lines and ...",Profile,corporate,Power,BE0002596741,International bonds,1.5%,"300,000,000 EUR","100,000 EUR",5sep2028, EUR,Belgium,Outstanding,"Par amount, integral multiple",,no,no,no,no,no,no
