company_name,ISIN,bond_types,bond_destination,coupon_rate,maturity_date,bond_currency
Elia,XS2332687040,,International bonds,1.375%,27may2024, EUR
RESA SA,XS2332687040,,International bonds,1%,22jul2026, EUR
Elia,XS2332687040,,International bonds,1.375%,7apr2027, EUR
GBL,XS2332687040,,International bonds,1.375%,23may2024, EUR
Fluvius System Operator,XS2332687040,,International bonds,2%,23jun2025, EUR
Fluvius System Operator,XS2332687040,,International bonds,2.75%,30nov2022, EUR
Elia,XS2332687040,,International bonds,3.25%,4apr2028, EUR
Elia,XS2332687040,,International bonds,3.5%,4apr2033, EUR
Fluvius System Operator,XS2332687040,,International bonds,2.875%,9oct2023, EUR
Fluvius System Operator,XS2332687040,,International bonds,3.75%,30oct2023, EUR
Elia,XS2332687040,,International bonds,3%,7apr2029, EUR
Fluvius System Operator,XS2332687040,,International bonds,2.875%,7may2029, EUR
Fluvius System Operator,XS2332687040,,International bonds,2.625%,29oct2029, EUR
Fluvius System Operator,XS2332687040,,International bonds,1.75%,4dec2026, EUR
Befimmo,XS2332687040,,International bonds,2.098%,12mar2026, EUR
GBL,XS2332687040,,International bonds,1.875%,19jun2025, EUR
Elia,XS2332687040,,International bonds,1.5%,5sep2028, EUR
Elia,XS2332687040,,International bonds,1.375%,14jan2026, EUR
Fluvius System Operator,XS2332687040,Senior Unsecured,International bonds,0.25%,2dec2030, EUR
GBL,XS2332687040,,International bonds,0.125%,28jan2031, EUR
Fluvius System Operator,XS2332687040,,International bonds,4.5%,8nov2021, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,2.875%,25sep2024, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,3.25%,24jan2033, EUR
Brussels Airport,XS2332687040,,International bonds,3.3%,9sep2025, EUR
Apetra,XS2332687040,,International bonds,3.125%,25sep2023, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,2.7%,31mar2026, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,1.5%,18apr2030, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,2%,17mar2028, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,2.75%,17mar2036, EUR
Barry Callebaut Services,XS2332687040,,International bonds,2.375%,24may2024, EUR
Brussels Airport,XS2332687040,,International bonds,1%,3may2024, EUR
Anheuser-Busch InBev,XS2332687040,Floating rate,International bonds,FRN,15apr2024, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,1.15%,22jan2027, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,2%,23jan2035, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,1.125%,1jul2027, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,1.65%,28mar2031, EUR
Solvay,XS2332687040,,International bonds,0.5%,6sep2029, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,2.125%,2dec2027, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,2.875%,2apr2032, EUR
Anheuser-Busch InBev,XS2332687040,,International bonds,3.7%,2apr2040, EUR
