organizationName,orgID,orgID_URL,orgSubtype,businessSector,busSect_description,busSectID,Business_ClassCode,EconomicSectID_URL,HQ_Address,HQ_PhoneNumber,orgURL,primaryTicker,hasHoldingClassification,LEI
Elia Transmission Belgium NV,5071549731,https://permid.org/1-5071549731,Company,Utilities,"Producers and distributors of electricity, natural gas, water, steam and utility infrastructure operators.",4294952820,5910,https://permid.org/1-4294952821,"Boulevard De L'empereur 20
BRUXELLES
BRUXELLES-CAPITALE
1000
Belgium
",,,,,549300A3EZXECDLW2V25
Deutsche Telekom International Finance BV,4296543170,https://permid.org/1-4296543170,Special Purpose Vehicle,Telecommunications Services,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.,4294952825,5740,https://permid.org/1-4294952723,"Stationsplein 8 K
MAASTRICHT
LIMBURG
6221BT
Netherlands
",,https://www.telekom.com/,,,529900ERDFHS6C1M4U58
innogy Finance BV,4296653814,https://permid.org/1-4296653814,Special Purpose Vehicle,Utilities,"Producers and distributors of electricity, natural gas, water, steam and utility infrastructure operators.",4294952820,5910,https://permid.org/1-4294952821,"Willemsplein 4
S-HERTOGENBOSCH
NOORD-BRABANT
5211 AK
Netherlands
",,,,,5299005PIU82TA2PW123
EnBW International Finance BV,4296930961,https://permid.org/1-4296930961,Special Purpose Vehicle,Utilities,"Producers and distributors of electricity, natural gas, water, steam and utility infrastructure operators.",4294952820,5910,https://permid.org/1-4294952821,"Herikerbergweg 122
AMSTERDAM
NOORD-HOLLAND
1101 CM
Netherlands
",,https://www.enbw.com/company/investors/bonds/enbw-int-finance-b-v.html,,,724500CNCIO1ZTJ0X675
E On International Finance BV,4296072717,https://permid.org/1-4296072717,Special Purpose Vehicle,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Kabelweg 37
AMSTERDAM
NOORD-HOLLAND
1014 BA
Netherlands
",,https://www.eon.com/de/investoren/anleihen/e-dot-on-international-finance-b-dot-v.html,,,549300TG53AWJ719M814
Bouygues SA,4295867226,https://permid.org/1-4295867226,Company,Industrial & Commercial Services,"Providers of construction, engineering, commercial supply services, professional information services, as well as diversified trading and distribution operations.",4294952762,5220,https://permid.org/1-4294952767,"32 avenue Hoche
Paris Cedex 08
PARIS
ILE-DE-FRANCE
75378
France
",33144201000,https://www.bouygues.com/,EN,publiclyHeld,969500MOCLNQFNZN0D63
Aeroports de Paris SA,4295867266,https://permid.org/1-4295867266,Company,Transportation,"Transporters of freight and passengers by air, land and sea, and operators of supporting services.",4294952945,5240,https://permid.org/1-4294952767,"1 Rue de France
TREMBLAY-EN-FRANCE
ILE-DE-FRANCE
93290
France
",33174256700,https://www.parisaeroport.fr/,ADP,publiclyHeld,969500PJMBSFHYC37989
Talanx AG,4296750143,https://permid.org/1-4296750143,Bank/Financial Holding Company,Insurance,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",4294952866,5530,https://permid.org/1-4294952740,"HDI-Platz 1
HANNOVER
NIEDERSACHSEN
30659
Germany
",4951137470,http://www.talanx.com/,TLX,publiclyHeld,5299006ZIILJ6VJVSJ32
Eutelsat Communications SA,4295866983,https://permid.org/1-4295866983,Company,Telecommunications Services,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.,4294952825,5740,https://permid.org/1-4294952723,"70, rue Balard
Paris Cedex 15
PARIS
ILE-DE-FRANCE
75502
France
",33153984747,https://www.eutelsat.com,ETL,publiclyHeld,549300EFWH9UR17YSK05
Vonovia SE,5063761614,https://permid.org/1-5063761614,Company,Real Estate,"Developers and managers of real estate operations and related services. Includes residential, commercial and specialized real estate investment trusts.",4294952860,6010,https://permid.org/1-1004365438,"Universitaetsstrasse 133
BOCHUM
NORDRHEIN-WESTFALEN
44803
Germany
",492343140,https://www.vonovia.de/,VNA,publiclyHeld,5299005A2ZEP6AP7KM81
