0,bond_types,bond_amounts,issue_info,ISIN_Code,quarter,year
"International bonds: 2i rete gas, 1.75% 16jul2019, EUR
XS1088274169",,"STATUS
Matured
AMOUNT
362,793,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Borrower
2i rete gas
Full issuer name
2I RETE GAS SPA
Sector
corporate
Industry
Public utilities
Volume
Placement amount
750,000,000 EUR
Outstanding amount
362,793,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1088274169,Q2,2017.0
"International bonds: 2i rete gas, 3% 16jul2024, EUR
XS1088274672",Senior Unsecured,"STATUS
Outstanding
AMOUNT
600,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Borrower
2i rete gas
Full issuer name
2I RETE GAS SPA
Sector
corporate
Industry
Public utilities
Volume
Placement amount
600,000,000 EUR
Outstanding amount
600,000,000 EUR
Outstanding face value amount
600,000,000 EUR
USD equivalent
724,554,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1088274672,Q2,2017.0
"International bonds: 2i rete gas, 1.125% 2jan2020, EUR
XS1144492532",,"STATUS
Matured
AMOUNT
267,100,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Borrower
2i rete gas
Full issuer name
2I RETE GAS SPA
Sector
corporate
Industry
Public utilities
Volume
Placement amount
540,000,000 EUR
Outstanding amount
267,100,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1144492532,Q2,2017.0
"International bonds: 2i rete gas, 1.75% 28aug2026, EUR
XS1571982468",Senior Unsecured,"STATUS
Outstanding
AMOUNT
435,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Borrower
2i rete gas
Full issuer name
2I RETE GAS SPA
Sector
corporate
Industry
Public utilities
Volume
Placement amount
435,000,000 EUR
Outstanding amount
435,000,000 EUR
Outstanding face value amount
435,000,000 EUR
USD equivalent
525,301,650 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1571982468,Q2,2017.0
"International bonds: A2A, 4.5% 28nov2019, EUR
XS0859920406",,"STATUS
Matured
AMOUNT
510,703,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...
Show more
Borrower
A2A
Full issuer name
A2A S.p.A.
Sector
corporate
Industry
Power
Stocks
A2A, ordinary share
Volume
Placement amount
750,000,000 EUR
Outstanding amount
510,703,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0859920406,Q2,2017.0
"International bonds: A2A, 4.375% 10jan2021, EUR
XS0951567030",,"STATUS
Matured
AMOUNT
351,457,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...
Show more
Borrower
A2A
Full issuer name
A2A S.p.A.
Sector
corporate
Industry
Power
Stocks
A2A, ordinary share
Volume
Placement amount
500,000,000 EUR
Outstanding amount
351,457,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0951567030,Q2,2017.0
"International bonds: A2A, 3.625% 13jan2022, EUR
XS1004874621",Senior Unsecured,"STATUS
Outstanding
AMOUNT
500,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...
Show more
Borrower
A2A
Full issuer name
A2A S.p.A.
Sector
corporate
Industry
Power
Stocks
A2A, ordinary share
Volume
Placement amount
500,000,000 EUR
Outstanding amount
500,000,000 EUR
Outstanding face value amount
500,000,000 EUR
USD equivalent
603,795,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1004874621,Q2,2017.0
"International bonds: A2A, 1.75% 25feb2025, EUR
XS1195347478",,"STATUS
Outstanding
AMOUNT
300,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...
Show more
Borrower
A2A
Full issuer name
A2A S.p.A.
Sector
corporate
Industry
Power
Stocks
A2A, ordinary share
Volume
Placement amount
300,000,000 EUR
Outstanding amount
300,000,000 EUR
Outstanding face value amount
300,000,000 EUR
USD equivalent
362,277,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1195347478,Q2,2017.0
"International bonds: A2A, 1.25% 16mar2024, EUR
XS1581375182",,"STATUS
Outstanding
AMOUNT
300,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Italy
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
A2A S.p.A., together with its subsidiaries, engages in the production, sale, and distribution of gas and electricity; and district heating, environmental services, and integrated water cycle activities primarily in Italy. The company operates through five segments: ...
Show more
Borrower
A2A
Full issuer name
A2A S.p.A.
Sector
corporate
Industry
Power
Stocks
A2A, ordinary share
Volume
Placement amount
300,000,000 EUR
Outstanding amount
300,000,000 EUR
Outstanding face value amount
300,000,000 EUR
USD equivalent
362,277,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1581375182,Q2,2017.0
"International bonds: ABB, 2.625% 26mar2019, EUR
XS0763122578",,"STATUS
Matured
AMOUNT
1,250,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Switzerland
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
ABB Ltd (ABB) is engaged in power and automation technologies. The Company provides a range of products, systems, solutions and services. Its power businesses focus on power transmission, distribution and power-plant automation and serve electric, gas ...
Show more
Borrower
ABB
Full issuer name
ABB Ltd
Sector
corporate
Industry
Engineering industry
Stocks
ABB, ordinary share
ABB, ordinary share
ABB, depositary receipt
ABB, depositary receipt
Volume
Placement amount
1,250,000,000 EUR
Outstanding amount
1,250,000,000 EUR
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS0763122578,Q2,2017.0
"International bonds: Abb Finance, 0.625% 3may2023, EUR
XS1402941790",Senior Unsecured,"STATUS
Outstanding
AMOUNT
700,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Netherlands
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Abb Finance B.V. was founded in 2012. The company's line of business includes the management of funds, trusts, and foundations organized for purposes other than religious, educational, charitable, or nonprofit research.
Borrower
Abb Finance
Full issuer name
Abb Finance B.V.
Sector
corporate
Industry
Engineering industry
Volume
Placement amount
700,000,000 EUR
Outstanding amount
700,000,000 EUR
Outstanding face value amount
700,000,000 EUR
USD equivalent
845,313,000 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1402941790,Q2,2017.0
"International bonds: ABB, 0.75% 16may2024, EUR
XS1613121422",Senior Unsecured,"STATUS
Outstanding
AMOUNT
750,000,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Switzerland
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
ABB Ltd (ABB) is engaged in power and automation technologies. The Company provides a range of products, systems, solutions and services. Its power businesses focus on power transmission, distribution and power-plant automation and serve electric, gas ...
Show more
Borrower
ABB
Full issuer name
ABB Ltd
Sector
corporate
Industry
Engineering industry
SPV / Issuer
Abb Finance
Stocks
ABB, ordinary share
ABB, ordinary share
ABB, depositary receipt
ABB, depositary receipt
Volume
Placement amount
750,000,000 EUR
Outstanding amount
750,000,000 EUR
Outstanding face value amount
750,000,000 EUR
USD equivalent
905,692,500 USD
Nominal
Minimum Settlement Amount
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR
Nominal
1,000 EUR",XS1613121422,Q2,2017.0
"Domestic bonds: Abertis Infraestructuras, 4.375% 30mar2020, EUR
ES0211845203",,"STATUS
Matured
AMOUNT
610,900,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Spain
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.
Issuer
Abertis Infraestructuras
Full issuer name
Abertis Infraestructuras S.A.
Sector
corporate
Industry
Construction and development
Volume
Placement amount
660,000,000 EUR
Outstanding amount
610,900,000 EUR
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",ES0211845203,Q2,2017.0
"Domestic bonds: Abertis Infraestructuras, 4.75% 25oct2019, EUR
ES0211845252",,"STATUS
Matured
AMOUNT
364,100,000 EUR
PLACEMENT
***
EARLY REDEMPTION
*** (-)
COUNTRY OF RISK
Spain
CURRENT COUPON
***%
PRICE
***%
YIELD / DURATION
-","Issue information
Profile
Abertis Infraestructuras S.A. is a toll road operator. The Group invests, expands, maintains, operates, and manages under concession contracts, major highways, and other toll roads infrastructure. Abertis Infraestructuras is present in Europe and the Americas.
Issuer
Abertis Infraestructuras
Full issuer name
Abertis Infraestructuras S.A.
Sector
corporate
Industry
Construction and development
Volume
Placement amount
750,000,000 EUR
Outstanding amount
364,100,000 EUR
Nominal
Nominal
100,000 EUR
Outstanding face value
*** EUR
Par amount, integral multiple
*** EUR",ES0211845252,Q2,2017.0
